Topic 0:  ['πλειοψηφ', 'τροποποι', 'τμημ', 'τροπολογ', 'νομοσχεδ']
Topic 1:  ['τροπολογ', 'νομοσχεδ', 'ελλην', 'οικονομ', 'μεγαλ']
Topic 2:  ['πλειοψηφιαερωτ', 'τροποποι', 'τμημ', 'τροπολογ', 'γενικ']
Topic 3:  ['τροπολογ', 'γενικ', 'τροποποι', 'νομοσχεδ', 'εντασς']
Topic 4:  ['απαντ', 'τροπολογ', 'γενικ', 'τροποποι', 'διακοπτ']
Topic 5:  ['τροποποι', 'τμημ', 'ομοφωνως', 'υπουργοερωτ', 'κοινοβουλευτ']
Topic 6:  ['διακοπτ', 'κοινοβουλευτ', 'διακοπ', 'ομιλητ', 'πασοκ']
Topic 7:  ['κοινοβουλευτ', 'πασοκ', 'κομμ', 'κομμουνιστ', 'ομαδ']
Topic 8:  ['νομοσχεδ', 'τμημ', 'συνολ', 'εξουσιοδοτ', 'επικυρως']
Topic 9:  ['διακοπ', 'γραφ', 'τμημ', 'ομιλητ', 'αδει']
Topic 10:  ['τμημ', 'μαθητ', 'δυτικ', 'περαιωμεν', 'επικαιρ']
Topic 11:  ['μαθητ', 'δυτικ', 'ξεναγ', 'μαθητρ', 'αιθους']
Topic 12:  ['κομμ', 'κομμουνιστ', 'επικαιρ', 'ελλαδ', 'οικονομ']
Topic 13:  ['δικαιωμ', 'κομμ', 'ομιλητ', 'εισηγητ', 'κομμουνιστ']
Topic 14:  ['ομιλητ', 'εισηγητ', 'πασοκ', 'καταλογ', 'ομιλ']
Topic 15:  ['ομιλητ', 'λαφαζαν', 'οικονομ', 'επικαιρ', 'ολοκληρωθ']
Topic 16:  ['λαφαζαν', 'κομμ', 'κομμουνιστ', 'συριζ', 'ελλαδ']
Topic 17:  ['πασοκ', 'εισηγητ', 'οικονομ', 'λαφαζαν', 'δικαιωμ']
Topic 18:  ['οικονομ', 'ομιλητ', 'ελλην', 'κρατ', 'δικαιωμ']
Topic 19:  ['κακλαμαν', 'πασοκ', 'ομιλητ', 'οικονομ', 'κομμ']
Topic 20:  ['εισηγητ', 'οικονομ', 'κακλαμαν', 'παρεμβας', 'κοινοβουλευτ']
Topic 21:  ['παρεμβας', 'συντομ', 'μικρ', 'πασοκ', 'λοβερδ']
Topic 22:  ['παραπαν', 'εξουσιοδοτ', 'επικυρως', 'συνολ', 'εισηγητ']
Topic 23:  ['κορακ', 'πασοκ', 'οικονομ', 'αντιρρης', 'ενοτητ']
Topic 24:  ['λοβερδ', 'καταθες', 'οικονομ', 'διευκρινις', 'αντιρρης']
Topic 25:  ['καταθες', 'οικονομ', 'παραγραφ', 'νομοτεχν', 'αναφερ']
Topic 26:  ['γενικ', 'παραγραφ', 'αναφερ', 'παραπαν', 'εξουσιοδοτ']
Topic 27:  ['καταθες', 'κρατ', 'γενικ', 'εισηγητ', 'ομιλητ']
Topic 28:  ['ανοχ', 'γενικ', 'καταθες', 'ομιλ', 'οικονομ']
Topic 29:  ['κρατ', 'αδει', 'αντιρρης', 'ζητηθεις', 'ελλην']
Topic 30:  ['ομιλ', 'κλεις', 'γενικ', 'παυλοπουλ', 'επικαιρ']
Topic 31:  ['αδει', 'ζητηθεις', 'ενεκριν', 'εγκριν', 'εξωτερ']
Topic 32:  ['διευκρινις', 'επικαιρ', 'αναφερ', 'κρατ', 'ομιλητ']
Topic 33:  ['διευκρινις', 'προχωρ', 'αδει', 'κλεις', 'ζητηθεις']
Topic 34:  ['παυλοπουλ', 'διευκρινις', 'προχωρ', 'προκοπ', 'καταθες']
Topic 35:  ['κλεις', 'ομιλ', 'παραγραφ', 'αναφερ', 'παυλοπουλ']
Topic 36:  ['κλεις', 'αντιρρης', 'πολλ', 'οικονομ', 'υγει']
Topic 37:  ['αντιρρης', 'ομιλ', 'παυλοπουλ', 'αναπτυξ', 'αγροτ']
Topic 38:  ['ενοτητ', 'περαιωμεν', 'πολλ', 'γενικ', 'ελλην']
Topic 39:  ['διακοψ', 'πολλ', 'συνεχις', 'υγει', 'εργας']
Topic 40:  ['πολλ', 'ομιλ', 'κρατ', 'υγει', 'αδει']
Topic 41:  ['προεδρε', 'πολλ', 'διακοψ', 'ολοκληρων', 'αφορ']
Topic 42:  ['αναφερ', 'μιλατ', 'αντιρρης', 'κανατ', 'πολλ']
Topic 43:  ['μιλατ', 'εξηγ', 'κουβελ', 'υγει', 'κεδικογλ']
Topic 44:  ['εξηγ', 'αδει', 'ολοκληρωθ', 'αγροτ', 'ζητηθεις']
Topic 45:  ['κουβελ', 'αναφερ', 'εξηγ', 'γεωργιαδ', 'πολλ']
Topic 46:  ['κεδικογλ', 'κανατ', 'γνωριζ', 'ελλην', 'γραφ']
Topic 47:  ['γεωργιαδ', 'ροντουλ', 'ορθοδοξ', 'συναγερμ', 'λαικ']
Topic 48:  ['κανατ', 'υγει', 'κουβελ', 'γεωργιαδ', 'νοσοκομει']
Topic 49:  ['πολλ', 'παραγραφ', 'κανατ', 'ελλην', 'ομοφωνως']
Topic 50:  ['αναφερ', 'υγει', 'κοινων', 'ελλην', 'ονομ']
Topic 51:  ['κεφαλογιανν', 'βενιζελ', 'αναφερθ', 'αφορ', 'αναπτυξ']
Topic 52:  ['βενιζελ', 'αναφερ', 'κοινων', 'υγει', 'ευαγγελ']
Topic 53:  ['αναφερθ', 'κανατ', 'ονομ', 'πολλ', 'αφορ']
Topic 54:  ['γνωριζ', 'σκυλλακ', 'κανατ', 'βενιζελ', 'αφορ']
Topic 55:  ['ροντουλ', 'γνωριζ', 'ορθοδοξ', 'συναγερμ', 'λαικ']
Topic 56:  ['γνωριζ', 'παραγραφ', 'σκυλλακ', 'αναφερθ', 'κωνσταντοπουλ']
Topic 57:  ['σκυλλακ', 'ελλην', 'ροντουλ', 'αντων', 'συντομ']
Topic 58:  ['ομοφωνως', 'σκυλλακ', 'ροντουλ', 'κουβελ', 'συνεχις']
Topic 59:  ['κωνσταντοπουλ', 'ομοφωνως', 'αφορ', 'σκυλλακ', 'συνασπισμ']
Topic 60:  ['κεγκερογλ', 'αφορ', 'συριζ', 'ελλην', 'βασιλει']
Topic 61:  ['συνεχις', 'συντομ', 'σταματ', 'κεγκερογλ', 'κωνσταντοπουλ']
Topic 62:  ['συντομ', 'παραγραφ', 'ομοφωνως', 'ενοτητ', 'ολοκληρωθ']
Topic 63:  ['συντομ', 'διανεμ', 'κεγκερογλ', 'σημει', 'νομοτεχν']
Topic 64:  ['αφορ', 'συντομ', 'συριζ', 'ελλην', 'διανεμ']
Topic 65:  ['συριζ', 'χρειαζ', 'σταματ', 'αγορητ', 'επτα']
Topic 66:  ['ακουστ', 'ονομ', 'αιθους', 'περαιωμεν', 'αναπτυξ']
Topic 67:  ['πρωθυπουργ', 'σιουφ', 'αναπτυξ', 'αφορ', 'δευτ']
